[-44.3985,  W,  0,  0.0112] [-60.4191, NW, 20,  0.0071] [-43.4088,  N,  6,  0.0050] [-40.4191, NE,  0,  0.0071] [-50.3985,  E,  6,  0.0112] 
[-43.4294,  W,  0,  0.0100] [-43.4088,  W,  6,  0.0050] [ 23.0000,  R,  0,  0.0000] [-37.4088,  E,  0,  0.0050] [-49.4294,  E,  6,  0.0100] 
[-44.3985,  W,  0,  0.0112] [-44.4191, SW,  4,  0.0071] [-41.4088,  S,  4,  0.0050] [-60.4191, SE, 20,  0.0071] [-44.3985,  E,  0,  0.0112] 

[-64.3985,  W, 20,  0.0112] [-66.4191, NW, 26,  0.0071] [-43.4088,  N,  6,  0.0050] [-46.4191, NE,  6,  0.0071] [-50.3985,  E,  6,  0.0112] 
[-49.4294,  W,  6,  0.0100] [-43.4088,  W,  6,  0.0050] [ 23.0000,  R,  0,  0.0000] [-37.4088,  E,  0,  0.0050] [-49.4294,  E,  6,  0.0100] 
[-48.3985,  W,  4,  0.0112] [-50.4191, SW, 10,  0.0071] [-41.4088,  S,  4,  0.0050] [-64.4191, SE, 24,  0.0071] [-64.3985,  E, 20,  0.0112] 

[-70.3985,  W, 26,  0.0112] [-66.4191, NW, 26,  0.0071] [-43.4088,  N,  6,  0.0050] [-46.4191, NE,  6,  0.0071] [-56.3985,  E, 12,  0.0112] 
[-49.4294,  W,  6,  0.0100] [-43.4088,  W,  6,  0.0050] [ 23.0000,  R,  0,  0.0000] [-37.4088,  E,  0,  0.0050] [-49.4294,  E,  6,  0.0100] 
[-54.3985,  W, 10,  0.0112] [-50.4191, SW, 10,  0.0071] [-41.4088,  S,  4,  0.0050] [-64.4191, SE, 24,  0.0071] [-68.3985,  E, 24,  0.0112] 

[-70.3985,  W, 26,  0.0112] [-66.4191, NW, 26,  0.0071] [-43.4088,  N,  6,  0.0050] [-46.4191, NE,  6,  0.0071] [-56.3985,  E, 12,  0.0112] 
[-49.4294,  W,  6,  0.0100] [-43.4088,  W,  6,  0.0050] [ 23.0000,  R,  0,  0.0000] [-37.4088,  E,  0,  0.0050] [-49.4294,  E,  6,  0.0100] 
[-54.3985,  W, 10,  0.0112] [-50.4191, SW, 10,  0.0071] [-41.4088,  S,  4,  0.0050] [-64.4191, SE, 24,  0.0071] [-68.3985,  E, 24,  0.0112] 

